"","County","Date","Positive","Negative","Recovered","Total_Deaths","Number_Tested","Current_Infections","Population","New_Cases_Today","Recovered_Since_Yesterday","New_Deaths_Today","New_Tests_Dashboard","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths"
"1","Arkansas",2020-09-03,287,4113,263,3,4400,21,18124,1,2,0,28,1.58353564334584,24.2772015007725,0.55175457956301,11.5868461708232,6.52272727272727,3.57142857142857,266,1.12781954887218,98.8721804511278
"2","Ashley",2020-09-03,388,4106,368,7,4494,13,20537,0,2,0,38,1.88927301942835,21.8824560549253,0,6.33003846715684,8.63373386737873,0,375,1.86666666666667,98.1333333333333
"3","Baxter",2020-09-03,144,2727,119,0,2871,25,41219,4,3,0,64,0.349353453504452,6.96523447924501,0.970426259734588,6.06516412334118,5.01567398119122,6.25,119,0,100
"4","Benton",2020-09-03,5503,59162,5156,58,64665,289,258980,50,35,1,969,2.12487450768399,24.9691095837516,1.93065101552243,11.1591628697197,8.51001314466868,5.15995872033024,5214,1.11238971998466,98.8876102800154
"5","Boone",2020-09-03,388,6648,272,3,7036,113,37288,14,6,0,133,1.04054923836087,18.8693413430594,3.75455910748766,30.3046556532933,5.51449687322342,10.5263157894737,275,1.09090909090909,98.9090909090909
"6","Bradley",2020-09-03,300,3048,266,6,3348,28,10948,4,10,0,47,2.74022652539277,30.5809280233833,3.65363536719035,25.5754475703325,8.96057347670251,8.51063829787234,272,2.20588235294118,97.7941176470588
"7","Calhoun",2020-09-03,23,1259,23,0,1282,0,5202,0,0,0,11,0.442137639369473,24.6443675509419,0,0,1.79407176287051,0,23,0,100
"8","Carroll",2020-09-03,479,5695,433,7,6174,39,27887,5,3,0,93,1.7176462150823,22.1393480833363,1.79295012012766,13.9850109369957,7.75834143181082,5.37634408602151,440,1.59090909090909,98.4090909090909
"9","Chicot",2020-09-03,964,4243,927,11,5207,26,10826,1,0,0,28,8.90448919268428,48.0971734712729,0.923702198411232,24.016257158692,18.5135394661033,3.57142857142857,938,1.1727078891258,98.8272921108742
"10","Clark",2020-09-03,243,4739,211,4,4982,28,22385,4,4,0,36,1.08554835827563,22.2559749832477,1.78691087781997,12.5083761447398,4.8775592131674,11.1111111111111,215,1.86046511627907,98.1395348837209
"11","Clay",2020-09-03,190,3053,155,5,3243,30,15061,5,6,0,45,1.2615364185645,21.5324347652878,3.31983268043291,19.9189960825974,5.85877274128893,11.1111111111111,160,3.125,96.875
"12","Cleburne",2020-09-03,259,4470,239,7,4729,13,25230,2,4,0,44,1.0265556876734,18.7435592548553,0.792707094728498,5.15259611573524,5.47684499894269,4.54545454545455,246,2.84552845528455,97.1544715447154
"13","Cleveland",2020-09-03,139,1947,125,5,2086,9,8226,1,-1,0,50,1.68976416241186,25.358619012886,1.2156576707999,10.9409190371991,6.66347075743049,2,130,3.84615384615385,96.1538461538462
"14","Columbia",2020-09-03,311,3642,269,15,3953,27,23892,8,6,0,38,1.30169094257492,16.5452871253976,3.34840113845639,11.3008538422903,7.86744244877308,21.0526315789474,284,5.28169014084507,94.7183098591549
"15","Conway",2020-09-03,213,4779,191,3,4992,19,20906,1,4,0,48,1.01884626423036,23.8783124461877,0.478331579450875,9.08830000956663,4.26682692307692,2.08333333333333,194,1.54639175257732,98.4536082474227
"16","Craighead",2020-09-03,1958,24288,1667,16,26246,275,105701,26,11,1,489,1.85239496315077,24.8304178768413,2.45976859253933,26.0167831903199,7.46018440905281,5.31697341513292,1683,0.95068330362448,99.0493166963755
"17","Crawford",2020-09-03,952,13956,846,9,14908,97,62472,13,20,0,179,1.52388269944935,23.8634908438981,2.08093225765143,15.5269560763222,6.38583310973974,7.26256983240224,855,1.05263157894737,98.9473684210526
"18","Crittenden",2020-09-03,1685,11829,1585,35,13514,65,49013,26,21,0,118,3.43786342398955,27.5722767429049,5.30471507559219,13.2617876889805,12.4685511321592,22.0338983050847,1620,2.16049382716049,97.8395061728395
"19","Cross",2020-09-03,289,3358,243,5,3647,41,16998,6,3,0,79,1.70020002353218,21.4554653488646,3.52982703847511,24.1204847629133,7.92432136002193,7.59493670886076,248,2.01612903225806,97.9838709677419
"20","Dallas",2020-09-03,132,1501,89,2,1633,41,7432,4,13,0,33,1.77610333692142,21.9725511302476,5.38213132400431,55.1668460710441,8.08328230251072,12.1212121212121,91,2.1978021978022,97.8021978021978
"21","Desha",2020-09-03,249,3020,216,5,3269,28,11887,5,1,0,59,2.09472533019265,27.5006309413645,4.20627576343905,23.5551442752587,7.61700825940655,8.47457627118644,221,2.26244343891403,97.737556561086
"22","Drew",2020-09-03,309,4606,288,5,4915,16,18502,1,1,0,53,1.67008972003027,26.564695708572,0.540482110042158,8.64771376067452,6.28687690742625,1.88679245283019,293,1.70648464163823,98.2935153583618
"23","Faulkner",2020-09-03,1747,27496,1547,9,29243,191,122416,28,19,0,335,1.42710103254477,23.8882172265063,2.28728270814273,15.6025356162593,5.97407926683309,8.35820895522388,1556,0.57840616966581,99.4215938303342
"24","Franklin",2020-09-03,178,4147,154,2,4325,22,17780,4,2,0,43,1.00112485939258,24.3250843644544,2.24971878515186,12.3734533183352,4.11560693641619,9.30232558139535,156,1.28205128205128,98.7179487179487
"25","Fulton",2020-09-03,77,917,59,0,994,18,12139,5,1,0,27,0.634319136666941,8.18848340060961,4.11895543290222,14.828239558448,7.74647887323944,18.5185185185185,59,0,100
"26","Garland",2020-09-03,1479,21546,1301,30,23025,148,98298,21,13,0,343,1.50460843557346,23.4236708783495,2.13636086186901,15.0562575026959,6.42345276872964,6.12244897959184,1331,2.25394440270473,97.7460555972953
"27","Grant",2020-09-03,197,3621,168,1,3818,28,18086,4,1,0,97,1.08924029636183,21.1102510228906,2.21165542408493,15.4815879685945,5.15976951283394,4.12371134020619,169,0.591715976331361,99.4082840236686
"28","Greene",2020-09-03,652,9736,590,5,10388,57,44623,4,8,0,145,1.46112991058423,23.2794747103512,0.896398718149833,12.7736817336351,6.27647285329226,2.75862068965517,595,0.840336134453782,99.1596638655462
"29","Hempstead",2020-09-03,335,3484,321,3,3819,11,22018,1,5,0,25,1.52148242347171,17.3448996275774,0.454173857752748,4.99591243528022,8.7719298245614,4,324,0.925925925925926,99.0740740740741
"30","Hot Spring",2020-09-03,1731,8544,1669,21,10275,41,33520,3,5,0,83,5.16408114558473,30.6533412887828,0.894988066825776,12.2315035799523,16.8467153284672,3.6144578313253,1690,1.24260355029586,98.7573964497041
"31","Howard",2020-09-03,429,3194,392,5,3623,32,13389,2,1,0,33,3.20412278736276,27.0595264769587,1.49376353723206,23.9002165957129,11.8410157328181,6.06060606060606,397,1.25944584382872,98.7405541561713
"32","Independence",2020-09-03,791,8061,702,7,8852,82,37264,3,9,0,105,2.12269214255045,23.754830399313,0.805066552168313,22.0051524259339,8.93583370989607,2.85714285714286,709,0.987306064880113,99.0126939351199
"33","Izard",2020-09-03,108,2812,83,0,2920,25,13559,2,3,0,22,0.796518917324286,21.5355114683974,1.47503503208201,18.4379379010251,3.6986301369863,9.09090909090909,83,0,100
"34","Jackson",2020-09-03,191,5093,161,1,5284,29,17225,4,3,0,135,1.1088534107402,30.6763425253991,2.322206095791,16.8359941944848,3.61468584405753,2.96296296296296,162,0.617283950617284,99.3827160493827
"35","Jefferson",2020-09-03,2166,21453,1862,51,23619,253,70424,37,28,0,429,3.07565602635465,33.538282403726,5.25389071907304,35.9252527547427,9.17058300520767,8.62470862470862,1913,2.66596968112912,97.3340303188709
"36","Johnson",2020-09-03,770,5658,751,4,6428,15,26291,4,4,0,31,2.9287588908752,24.4494313643452,1.52143319006504,5.7053744627439,11.9788425637834,12.9032258064516,755,0.529801324503311,99.4701986754967
"37","Lafayette",2020-09-03,75,799,66,2,874,7,6915,3,2,0,8,1.08459869848156,12.6391901663051,4.33839479392625,10.1229211858279,8.5812356979405,37.5,68,2.94117647058824,97.0588235294118
"38","Lawrence",2020-09-03,258,2773,231,11,3031,16,16669,5,1,0,45,1.54778331033655,18.1834543163957,2.99958005879177,9.59865618813366,8.51204223028703,11.1111111111111,242,4.54545454545455,95.4545454545455
"39","Lee",2020-09-03,1007,3309,980,11,4316,16,9398,1,0,0,10,10.7150457544158,45.9246648223026,1.06405618216642,17.0248989146627,23.3317886932345,10,991,1.10998990918264,98.8900100908174
"40","Lincoln",2020-09-03,1617,5328,1372,13,6945,232,13695,7,3,0,55,11.8072289156626,50.7119386637459,5.11135450894487,169.404892296459,23.2829373650108,12.7272727272727,1385,0.938628158844765,99.0613718411552
"41","Little River",2020-09-03,296,1457,259,15,1753,22,12417,9,4,0,17,2.38382862205041,14.1177418055891,7.24812756704518,17.7176451638882,16.8853394181403,52.9411764705882,274,5.47445255474453,94.5255474452555
"42","Logan",2020-09-03,367,5344,349,1,5711,17,21757,2,1,0,41,1.68681343935285,26.2490233028451,0.91924438111872,7.81357723950912,6.42619506216074,4.8780487804878,350,0.285714285714286,99.7142857142857
"43","Lonoke",2020-09-03,749,12905,647,4,13654,98,72206,9,9,0,119,1.03730991884331,18.9097858903692,1.24643381436446,13.5722793119685,5.485571993555,7.56302521008403,651,0.614439324116744,99.3855606758833
"44","Madison",2020-09-03,302,3414,291,2,3716,9,16078,3,1,0,29,1.8783430774972,23.112327403906,1.86590371936808,5.59771115810424,8.1270182992465,10.3448275862069,293,0.68259385665529,99.3174061433447
"45","Marion",2020-09-03,48,1712,40,0,1760,8,16438,2,0,0,32,0.292006326803747,10.7068986494707,1.21669302834895,4.86677211339579,2.72727272727273,6.25,40,0,100
"46","Miller",2020-09-03,638,5171,578,9,5809,51,43759,17,4,0,66,1.45798578578121,13.2749834319797,3.88491510317877,11.6547453095363,10.9829574797728,25.7575757575758,587,1.53321976149915,98.4667802385008
"47","Mississippi",2020-09-03,1388,9536,1253,31,10924,104,42831,14,1,9,101,3.24064345917676,25.5048913170367,3.26866054960192,24.2814783684714,12.7059685097034,13.8613861386139,1284,2.41433021806854,97.5856697819315
"48","Monroe",2020-09-03,96,1811,89,0,1907,7,7249,0,1,0,17,1.32432059594427,26.3070768381846,0,9.65650434542695,5.03408495018353,0,89,0,100
"49","Montgomery",2020-09-03,116,1387,64,4,1503,48,8993,12,4,1,62,1.28989213832981,16.7129989992216,13.3437117758256,53.3748471033026,7.71789753825682,19.3548387096774,68,5.88235294117647,94.1176470588235
"50","Nevada",2020-09-03,162,2211,142,12,2373,8,8440,0,4,0,5,1.91943127962085,28.1161137440758,0,9.47867298578199,6.826801517067,0,154,7.79220779220779,92.2077922077922
"51","Newton",2020-09-03,134,1278,94,15,1412,25,7848,13,-1,0,58,1.70744138634047,17.9918450560652,16.5647298674822,31.855249745158,9.49008498583569,22.4137931034483,109,13.7614678899083,86.2385321100918
"52","Ouachita",2020-09-03,173,4281,131,4,4454,38,24106,14,6,0,86,0.717663652202771,18.4767277856135,5.8076827345889,15.7637102795984,3.88414907947912,16.2790697674419,135,2.96296296296296,97.037037037037
"53","Perry",2020-09-03,62,2118,59,0,2180,3,10322,-1,0,-1,17,0.600658787056772,21.1199379965123,-0.968804495252858,2.90641348575857,2.84403669724771,-5.88235294117647,59,0,100
"54","Phillips",2020-09-03,409,5134,383,10,5543,16,19034,2,5,0,34,2.14878638226332,29.1215719239256,1.05075128717033,8.40601029736261,7.37867580732455,5.88235294117647,393,2.54452926208651,97.4554707379135
"55","Pike",2020-09-03,179,1780,170,1,1959,8,10808,2,3,0,27,1.65618060695781,18.1254626202813,1.85048112509252,7.4019245003701,9.13731495661052,7.40740740740741,171,0.584795321637427,99.4152046783626
"56","Poinsett",2020-09-03,503,5757,407,6,6260,90,24054,10,19,0,231,2.09112829467032,26.0247775837699,4.15731271306228,37.4158144175605,8.03514376996805,4.32900432900433,413,1.45278450363196,98.547215496368
"57","Polk",2020-09-03,230,3170,211,4,3400,15,20163,4,2,0,45,1.14070326836284,16.8625700540594,1.98383177106581,7.4393691414968,6.76470588235294,8.88888888888889,215,1.86046511627907,98.1395348837209
"58","Pope",2020-09-03,1806,16395,1645,19,18201,142,63644,19,22,1,224,2.8376594808623,28.5981396518132,2.98535604298913,22.3116083212872,9.92253172902588,8.48214285714286,1664,1.14182692307692,98.8581730769231
"59","Prairie",2020-09-03,118,1567,114,1,1685,3,8244,3,1,1,15,1.43134400776322,20.4391072295002,3.63901018922853,3.63901018922853,7.00296735905045,20,115,0.869565217391304,99.1304347826087
"60","Pulaski",2020-09-03,7276,96340,6512,112,103616,652,393463,94,68,0,1428,1.84922089243461,26.3343694324498,2.38904293415137,16.5708084368797,7.02208153180976,6.58263305322129,6624,1.69082125603865,98.3091787439614
"61","Randolph",2020-09-03,312,3675,290,13,3987,9,17603,1,0,1,37,1.77242515480316,22.6495483724365,0.568084985513833,5.1127648696245,7.82543265613243,2.7027027027027,303,4.29042904290429,95.7095709570957
"62","Saline",2020-09-03,1653,20497,1411,13,22150,229,118009,36,18,0,329,1.40074062147802,18.7697548492064,3.0506147836182,19.4052995957935,7.4627539503386,10.9422492401216,1424,0.912921348314607,99.0870786516854
"63","Scott",2020-09-03,88,1461,87,0,1549,1,10442,1,2,0,9,0.842750430951925,14.8343229266424,0.957670944263551,0.957670944263551,5.68108457069077,11.1111111111111,87,0,100
"64","Searcy",2020-09-03,111,1534,59,0,1645,52,7923,10,4,0,25,1.40098447557743,20.7623374984223,12.6214817619589,65.6317051621861,6.74772036474164,40,59,0,100
"65","Sebastian",2020-09-03,2946,32241,2692,35,35187,219,127461,36,34,0,420,2.31129521971427,27.6060912749782,2.82439334384635,17.1817261750653,8.37241026515474,8.57142857142857,2727,1.28346167950128,98.7165383204987
"66","Sevier",2020-09-03,1163,5608,1136,13,6771,14,17193,3,11,0,41,6.7643808526726,39.3823067527482,1.74489617867737,8.14284883382772,17.1761925860287,7.31707317073171,1149,1.13141862489121,98.8685813751088
"67","Sharp",2020-09-03,152,2904,135,5,3056,12,17043,3,2,0,37,0.891861761426979,17.9311154139529,1.76025347650062,7.04101390600246,4.9738219895288,8.10810810810811,140,3.57142857142857,96.4285714285714
"68","St. Francis",2020-09-03,1357,9892,1269,4,11249,84,26294,7,8,0,65,5.16087320301209,42.7816231839963,2.66220430516468,31.9464516619761,12.063294515068,10.7692307692308,1273,0.314218381775334,99.6857816182247
"69","Stone",2020-09-03,211,2441,163,3,2652,45,12446,9,8,0,62,1.69532379881086,21.3080507793669,7.23123895227382,36.1561947613691,7.95625942684766,14.5161290322581,166,1.80722891566265,98.1927710843374
"70","Union",2020-09-03,707,7084,623,21,7791,63,39732,9,13,1,112,1.77942212825934,19.6088794926004,2.26517668378133,15.8562367864693,9.07457322551662,8.03571428571429,644,3.26086956521739,96.7391304347826
"71","Van Buren",2020-09-03,136,2850,102,2,2986,32,16684,10,11,0,44,0.815152241668665,17.8973867178135,5.99376648285783,19.180052745145,4.55458807769591,22.7272727272727,104,1.92307692307692,98.0769230769231
"72","Washington",2020-09-03,7203,59472,6744,78,66675,381,228529,212,73,5,1246,3.15189757098661,29.1757282445554,9.27672199151968,16.6718447111745,10.8031496062992,17.0144462279294,6822,1.14335971855761,98.8566402814424
"73","White",2020-09-03,551,10193,462,12,10744,77,78804,9,7,0,86,0.699203086137759,13.6338256941272,1.14207400639561,9.77107761027359,5.12844378257632,10.4651162790698,474,2.53164556962025,97.4683544303797
"74","Woodruff",2020-09-03,28,1324,27,0,1352,1,6660,1,0,0,5,0.42042042042042,20.3003003003003,1.5015015015015,1.5015015015015,2.07100591715976,20,27,0,100
"75","Yell",2020-09-03,1169,7645,1118,25,8814,26,21757,2,4,0,43,5.37298340763892,40.511099875902,0.91924438111872,11.9501769545434,13.262990696619,4.65116279069767,1143,2.18722659667542,97.8127734033246
