date,cases_Broader Community,cases_Corrections,cases_Nursing Home,cases_Non-Covid Death,new.cases_Broader Community,new.cases_Corrections,new.cases_Nursing Home,new.cases_Non-Covid Death,deaths_Broader Community,deaths_Corrections,deaths_Nursing Home,deaths_Non-Covid Death,new.deaths_Broader Community,new.deaths_Corrections,new.deaths_Nursing Home,new.deaths_Non-Covid Death
2020-10-11,78529,9238,5066,NA,535,46,32,NA,964,47,558,9,9,0,8,0
2020-10-10,77994,9192,5034,NA,795,19,94,NA,955,47,550,9,12,1,9,0
2020-10-09,77199,9173,4940,NA,967,87,113,NA,943,46,541,9,7,0,20,0
2020-10-08,76232,9086,4827,NA,1149,22,94,NA,936,46,521,9,7,0,18,0
2020-10-07,75083,9064,4733,NA,690,72,47,NA,929,46,503,9,9,0,3,0
2020-10-06,74393,8992,4686,NA,526,34,81,NA,920,46,503,9,19,0,3,0
2020-10-05,73867,8958,4605,NA,386,26,5,NA,901,46,500,9,13,2,7,1
2020-10-04,73481,8932,4600,NA,424,39,25,NA,888,44,493,8,9,0,9,0
2020-10-03,73057,8893,4575,NA,621,71,54,NA,879,44,484,8,7,1,8,0
2020-10-02,72436,8822,4521,NA,815,69,74,NA,872,43,476,8,1,0,6,1
2020-10-01,71621,8753,4447,NA,1043,36,45,NA,871,43,470,7,7,0,8,0
2020-09-30,70578,8717,4402,NA,865,21,56,NA,864,43,462,7,12,0,7,2
2020-09-29,69713,8696,4346,NA,589,16,101,NA,852,43,455,5,10,0,11,0
2020-09-28,69124,8680,4245,NA,524,256,27,NA,842,43,444,5,-8,0,29,0
2020-09-27,68600,8424,4218,NA,487,0,0,NA,850,43,415,5,23,0,0,0
2020-09-26,68113,8424,4218,NA,594,142,73,NA,827,43,415,5,10,3,7,0
2020-09-25,67519,8282,4145,NA,744,47,106,NA,817,41,408,5,6,1,13,0
2020-09-24,66775,8235,4039,NA,991,34,61,NA,811,40,395,5,10,0,7,1
2020-09-23,65784,8201,3978,NA,936,8,38,NA,801,40,388,5,13,0,7,1
2020-09-22,64848,8193,3940,NA,576,26,15,NA,788,40,381,5,9,0,3,1
2020-09-21,64272,8167,3925,NA,494,54,93,NA,779,40,378,5,9,0,7,1
2020-09-20,63778,8113,3832,NA,453,49,61,NA,770,40,371,4,0,0,0,0
2020-09-19,63325,8064,3771,NA,982,69,27,NA,770,40,371,4,8,0,0,0
2020-09-18,62343,7995,3744,NA,694,153,24,NA,762,40,371,4,4,0,3,0
2020-09-17,61649,7842,3720,NA,885,55,52,NA,758,40,368,4,7,0,2,0
2020-09-16,60764,7787,3668,NA,596,346,-220,NA,751,40,366,4,7,0,0,0
2020-09-15,60168,7441,3888,NA,819,11,40,NA,744,40,366,4,150,0,8,0
2020-09-14,59349,7430,3848,NA,362,17,29,NA,594,40,358,4,3,0,8,0
2020-09-13,58987,7413,3819,NA,415,18,76,NA,591,40,350,4,3,1,8,0
2020-09-12,58572,7395,3743,NA,1708,3,88,NA,588,39,342,4,6,0,10,0
2020-09-11,56864,7392,3655,NA,1046,31,30,NA,582,39,332,NA,9,0,4,NA
2020-09-10,55818,7361,3625,NA,347,5,46,NA,573,39,328,NA,7,1,4,NA
2020-09-09,55471,7356,3579,NA,340,12,33,NA,566,38,324,NA,4,0,7,NA
2020-09-08,55131,7344,3546,NA,217,3,74,NA,562,38,317,NA,8,0,1,NA
2020-09-07,54914,7341,3472,NA,318,8,24,NA,554,38,316,NA,9,0,5,NA
2020-09-06,54596,7333,3448,NA,659,10,18,NA,545,38,311,NA,3,0,9,NA
2020-09-05,53937,7323,3430,NA,451,30,34,NA,542,38,302,NA,2,0,7,NA
2020-09-04,53486,7293,3396,NA,940,123,31,NA,540,38,295,NA,10,0,2,NA
2020-09-03,52546,7170,3365,NA,923,23,23,NA,530,38,293,NA,11,0,9,NA
2020-09-02,51623,7147,3342,NA,525,16,74,NA,519,38,284,NA,22,0,5,NA
2020-09-01,51098,7131,3268,NA,231,15,27,NA,497,38,279,NA,12,1,4,NA
2020-08-31,50867,7116,3241,NA,354,0,14,NA,485,37,275,NA,11,0,2,NA
2020-08-30,50513,7116,3227,NA,369,43,66,NA,474,37,273,NA,8,0,4,NA
2020-08-29,50144,7073,3161,NA,620,108,68,NA,466,37,269,NA,9,0,7,NA
2020-08-28,49524,6965,3093,NA,627,181,29,NA,457,37,262,NA,13,0,4,NA
2020-08-27,48897,6784,3064,NA,605,71,46,NA,444,37,258,NA,6,0,1,NA
2020-08-26,48292,6713,3018,NA,478,76,95,NA,438,37,257,NA,14,1,6,NA
2020-08-25,47814,6637,2923,NA,416,16,48,NA,424,36,251,NA,8,0,7,NA
2020-08-24,47398,6621,2875,NA,299,13,8,NA,416,36,244,NA,6,0,3,NA
2020-08-23,47099,6608,2867,NA,336,24,15,NA,410,36,241,NA,2,1,10,NA
2020-08-22,46763,6584,2852,NA,-1432,56,1923,NA,408,35,231,NA,-35,3,43,NA
2020-08-21,48195,6528,929,NA,846,27,14,NA,443,32,188,NA,10,0,12,NA
2020-08-20,47349,6501,915,NA,485,50,14,NA,433,32,176,NA,6,0,4,NA
2020-08-19,46864,6451,901,NA,643,76,10,NA,427,32,172,NA,9,0,3,NA
2020-08-18,46221,6375,891,NA,361,40,9,NA,418,32,169,NA,13,1,2,NA
2020-08-17,45860,6335,882,NA,398,12,2,NA,405,31,167,NA,4,0,0,NA
2020-08-16,45462,6323,880,NA,468,197,8,NA,401,31,167,NA,-8,0,7,NA
2020-08-15,44994,6126,872,NA,-491,118,-27,NA,409,31,160,NA,19,-2,-4,NA
2020-08-14,45485,6008,899,NA,432,189,5,NA,390,33,164,NA,3,1,1,NA
2020-08-13,45053,5819,894,NA,629,13,10,NA,387,32,163,NA,-4,1,2,NA
2020-08-12,44424,5806,884,NA,658,24,21,NA,391,31,161,NA,16,0,1,NA
2020-08-11,43766,5782,863,NA,300,69,14,NA,375,31,160,NA,6,1,4,NA
2020-08-10,43466,5713,849,NA,623,13,9,NA,369,30,156,NA,4,0,7,NA
2020-08-09,42843,5700,840,NA,432,133,7,NA,365,30,149,NA,2,0,7,NA
2020-08-08,42411,5567,833,NA,690,74,8,NA,363,30,142,NA,7,0,7,NA
2020-08-07,41721,5493,825,NA,736,168,17,NA,356,30,135,NA,4,0,2,NA
2020-08-06,40895,5325,808,NA,680,44,11,NA,352,30,133,NA,6,0,1,NA
2020-08-05,40215,5281,797,NA,740,158,14,NA,346,30,132,NA,13,2,3,NA
2020-08-04,39475,5123,783,NA,758,10,16,NA,333,28,129,NA,14,1,0,NA
2020-08-03,38717,5113,767,NA,774,6,7,NA,319,27,129,NA,9,1,1,NA
2020-08-02,37943,5107,760,NA,621,10,6,NA,310,26,128,NA,4,0,2,NA
2020-08-01,37322,5097,754,NA,510,142,10,NA,306,26,126,NA,4,0,1,NA
2020-07-31,36812,4955,744,NA,715,33,4,NA,302,26,125,NA,10,1,0,NA
2020-07-30,36097,4922,740,NA,753,32,6,NA,292,25,125,NA,3,0,5,NA
2020-07-29,35344,4890,734,NA,608,170,9,NA,289,25,120,NA,6,0,0,NA
2020-07-28,34736,4720,725,NA,706,20,8,NA,283,25,120,NA,12,3,4,NA
2020-07-27,34030,4700,717,NA,811,10,2,NA,271,22,116,NA,8,0,0,NA
2020-07-26,33219,4690,714,NA,623,16,3,NA,263,22,116,NA,2,0,0,NA
2020-07-25,32596,4674,711,NA,410,274,48,NA,261,22,116,NA,5,0,1,NA
2020-07-24,32186,4400,663,NA,977,7,6,NA,256,22,116,NA,6,1,1,NA
2020-07-23,31209,4393,657,NA,998,5,10,NA,250,21,115,NA,4,0,2,NA
2020-07-22,30211,4388,647,NA,577,7,7,NA,246,21,113,NA,4,0,2,NA
2020-07-21,29634,4381,640,NA,581,122,25,NA,242,21,111,NA,9,2,0,NA
2020-07-20,29053,4259,615,NA,686,11,2,NA,233,19,111,NA,6,0,0,NA
2020-07-19,28367,4248,613,NA,626,67,2,NA,227,19,111,NA,0,1,-1,NA
2020-07-18,27741,4181,611,NA,753,16,3,NA,227,18,112,NA,4,0,0,NA
2020-07-17,26988,4165,609,NA,606,40,2,NA,223,18,112,NA,7,2,3,NA
2020-07-16,26382,4125,607,NA,728,82,7,NA,216,16,109,NA,-3,0,2,NA
2020-07-15,25654,4043,600,NA,483,79,2,NA,219,16,107,NA,3,0,1,NA
2020-07-14,25171,3964,598,NA,759,33,2,NA,209,16,106,NA,6,1,1,NA
2020-07-13,24412,3931,596,NA,564,3,5,NA,203,15,105,NA,2,0,0,NA
2020-07-12,23848,3928,591,NA,447,51,5,NA,201,15,105,NA,2,0,0,NA
2020-07-11,23401,3877,586,NA,708,350,3,NA,199,15,105,NA,5,0,1,NA
2020-07-10,22693,3527,583,NA,663,83,5,NA,194,15,104,NA,4,0,0,NA
2020-07-09,22030,3444,578,NA,778,22,6,NA,190,15,104,NA,4,0,0,NA
2020-07-08,21252,3422,572,NA,676,51,9,NA,186,15,104,NA,3,0,1,NA
2020-07-07,20576,3371,563,NA,243,12,4,NA,183,15,103,NA,9,0,0,NA
2020-07-06,20333,3361,559,NA,431,6,2,NA,174,15,103,NA,3,1,1,NA
2020-07-05,19902,3355,557,NA,599,4,2,NA,171,14,102,NA,-2,0,1,NA
2020-07-04,19303,3351,555,NA,577,10,0,NA,173,14,101,NA,5,1,1,NA
2020-07-03,18726,3341,555,NA,360,182,5,NA,168,13,100,NA,2,0,0,NA
2020-07-02,18366,3159,550,NA,856,15,7,NA,166,13,100,NA,2,0,0,NA
2020-07-01,17510,3144,543,NA,379,30,11,NA,164,13,100,NA,5,0,2,NA
2020-06-30,17131,3114,532,NA,497,17,6,NA,159,13,98,NA,3,1,1,NA
2020-06-29,16634,3097,526,NA,406,21,12,NA,156,12,97,NA,0,0,1,NA
2020-06-28,16228,3076,514,NA,503,1,3,NA,156,12,96,NA,4,0,1,NA
2020-06-27,15725,3074,511,NA,519,48,3,NA,152,12,95,NA,10,0,0,NA
2020-06-26,15206,3026,508,NA,647,26,5,NA,142,12,95,NA,6,0,3,NA
2020-06-25,14559,3000,503,NA,496,182,9,NA,136,12,92,NA,0,0,0,NA
2020-06-24,14063,2818,494,NA,654,41,2,NA,136,12,92,NA,3,0,0,NA
2020-06-23,13409,2777,492,NA,408,178,9,NA,133,12,92,NA,3,0,7,NA
2020-06-22,13001,2599,483,NA,517,4,1,NA,130,12,85,NA,2,0,0,NA
2020-06-21,12484,2595,482,NA,413,2,4,NA,128,12,85,NA,1,0,0,NA
2020-06-20,12071,2593,478,NA,496,7,8,NA,127,12,85,NA,5,0,5,NA
2020-06-19,11575,2586,470,NA,661,39,3,NA,122,12,80,NA,6,0,0,NA
2020-06-18,10914,2547,467,NA,307,13,2,NA,116,12,80,NA,3,0,8,NA
2020-06-17,10607,2534,465,NA,392,11,12,NA,113,12,72,NA,7,0,2,NA
2020-06-16,10215,2523,453,NA,269,1,4,NA,106,12,70,NA,4,0,2,NA
2020-06-15,9946,2522,449,NA,356,56,4,NA,102,12,68,NA,2,0,1,NA
2020-06-14,9590,2466,445,NA,209,189,8,NA,100,12,67,NA,2,0,0,NA
2020-06-13,9381,2277,437,NA,534,4,10,NA,98,12,67,NA,1,0,0,NA
2020-06-12,8847,2273,427,NA,517,207,7,NA,97,12,67,NA,5,0,0,NA
2020-06-11,8330,2066,420,NA,440,4,4,NA,92,12,67,NA,5,0,1,NA
2020-06-10,7890,2062,416,NA,261,23,4,NA,87,12,66,NA,4,0,0,NA
2020-06-09,7629,2039,412,NA,300,34,6,NA,83,12,66,NA,4,0,2,NA
2020-06-08,7329,2005,406,NA,238,49,27,NA,79,12,64,NA,1,0,0,NA
2020-06-07,7091,1956,379,NA,317,6,2,NA,78,12,64,NA,0,0,0,NA
2020-06-06,6774,1950,377,NA,393,50,7,NA,78,12,64,NA,1,0,1,NA
2020-06-05,6381,1900,370,NA,221,3,2,NA,77,12,63,NA,0,1,0,NA
2020-06-04,6160,1897,368,NA,352,2,4,NA,77,11,63,NA,3,0,6,NA
2020-06-03,5808,1895,364,NA,237,4,8,NA,74,11,57,NA,4,0,2,NA
2020-06-02,5571,1891,356,NA,370,1,4,NA,70,11,55,NA,3,0,0,NA
2020-06-01,5201,1890,352,NA,179,3,8,NA,67,11,55,NA,0,0,0,NA
2020-05-31,5022,1887,344,NA,237,2,1,NA,67,11,55,NA,0,0,0,NA
2020-05-30,4785,1885,343,NA,457,7,11,NA,67,11,55,NA,4,1,3,NA
2020-05-28,4328,1878,332,NA,NA,NA,NA,NA,63,10,52,NA,NA,NA,NA,NA
