Date,Number
3/23/20,13
3/30/20,14
4/6/20,15
4/13/20,16
4/20/20,17
4/27/20,18
5/4/20,19
5/11/20,20
5/18/20,21
5/25/20,22
6/1/20,23
6/8/20,24
6/15/20,25
6/22/20,26
6/29/20,27
7/6/20,28
7/13/20,29
7/20/20,30
7/27/20,31
8/3/20,32
8/10/20,33
8/17/20,34
8/24/20,35
8/31/20,36
9/7/20,37
9/14/20,38
9/21/20,39
9/28/20,40
10/5/20,41
10/12/20,42
10/19/20,43
10/26/20,44
11/2/20,45
11/9/20,46
11/16/20,47
11/23/20,48
11/30/20,49
12/7/20,50
12/14/20,51
12/21/20,52
12/28/20,53
1/4/21,1
1/11/21,2
1/18/21,3
1/25/21,4
2/1/21,5
2/8/21,6
2/15/21,7
2/22/21,8
3/1/21,9
3/8/21,10
3/15/21,11
3/22/21,12
3/29/21,13
4/5/21,14
4/12/21,15
4/19/21,16
4/26/21,17
5/3/21,18
5/10/21,19
5/17/21,20
5/24/21,21
5/31/21,22
6/7/21,23
6/14/21,24
6/21/21,25
6/28/21,26
7/5/21,27
7/12/21,28
7/19/21,29
7/26/21,30
8/2/21,31
8/9/21,32
8/16/21,33
8/23/21,34
8/30/21,35
9/6/21,36
9/13/21,37
9/20/21,38
9/27/21,39
10/4/21,40
10/11/21,41
10/18/21,42
10/25/21,43
11/1/21,44
11/8/21,45
11/15/21,46
11/22/21,47
11/29/21,48
12/6/21,49
12/13/21,50
12/20/21,51
12/27/21,52